I am hungry,eat
I am starving,eat
I would like to eat something,eat
I am looking for a restaurant,eat
I want pasta,eat
I am really hungry you know a good place to eat around here,eat
Hello I'm starving I'm looking for a place to eat,eat
I want some food,eat
I don't want to go further,exit
stop the order,exit
get me out of here,exit
cancel,exit
exit,exit
get me out,exit
I don't think these nodes are very good - or at least they're not documented well.,feedback
The watson starter kit is awesome!,feedback
I love the way that the new breaking news service works!,feedback
I'm having trouble following the instructions that are given,feedback
it's really horrendous how badly these nodes are documented - There is absolutely no way any body can follow that! Infuriating!,feedback
These new nodes are awesome! I love the way they are used in the new flows!,feedback
I like the way the documentation is written,feedback
I'm finding it very difficult to make any of this work,feedback
What are your hours of the restaurant?,hotel_hours
What time does the restaurant close?,hotel_hours
What are the pool and Fitness Center hours ?,hotel_hours
What time can I grab dinner?,hotel_hours
What are the hotel Restaurant hours of operation?,hotel_hours
What's the lunch time?,hotel_hours
What time does the lounge/restaurant open,hotel_hours
What are the hours of your restaurant?,hotel_hours
When are you serving dinner?,hotel_hours
hours fo pool,hotel_hours
What time does the food place open?,hotel_hours
What are the hours of the gym?,hotel_hours
When is the pool open?,hotel_hours
When does the gym close?,hotel_hours
what's open right now,hotel_hours
When is the gym open?,hotel_hours
Is the pool heated?,hotel_info
Do you have an elliptical?,hotel_info
Is there a lifeguard?,hotel_info
Can I order food at the pool?,hotel_info
Do you have weights?,hotel_info
How deep is the pool?,hotel_info
What is the length of the Pool?,hotel_info
Do you have a bike?,hotel_info
Do you have an outdoor/ indoor pool?,hotel_info
Can I bring food to the pool?,hotel_info
What size is the pool?,hotel_info
Do you have water in your gym?,hotel_info
I want to work out.,hotel_locations
can I get hot tea at breakfast?,hotel_locations
Where is the swimming pool?,hotel_locations
Where do you serve lunch?,hotel_locations
Where can I go swimming?,hotel_locations
I'm hungry. Where can I eat?,hotel_locations
Is the pool outside?,hotel_locations
Where is the restaurant?,hotel_locations
Where is the hotel cafe?,hotel_locations
Whereabouts is the gym?,hotel_locations
Which floor is the gym/pool on?,hotel_locations
I want to go swimming.,hotel_locations
Where is hotel restaurant?,hotel_locations
Where is the gym/fitness center,hotel_locations
Hi!  What's the quickest way to get from point A to point B.,hotel_locations
Where is the pool,hotel_locations
Is there a local full service gym?,hotel_locations
Where is the restaurant,hotel_locations
Do you have a sauna?,hotel_locations
When can I go for a swim,hotel_locations
Do you have an outdoor pool?,hotel_locations
Where is the gym?,hotel_locations
How do I get in the gym?,hotel_locations
any good time to go swimming,hotel_locations
How do I arrange a shuttle or a taxi to the airport?,hotel_procedure
How can I book a taxi?,hotel_procedure
how do I turn the ac off in my room,hotel_procedure
How can I book a cab?,hotel_procedure
How do I book a large reservation in the restaurant?,hotel_procedure
How can I arrange transportation?,hotel_procedure
Hey can I get some new towels up to my room,hotel_procedure
How do I arrange a shuttle or taxi to the airport?,hotel_procedure
How do I adjust the heat/AC in the guestroom?,hotel_procedure
How do I set the clock alarm in the guestroom?,hotel_procedure
What restaurants are in the mall?,local_recommend
Can you recommend some great upscale restaurants outside of the hotel?,local_recommend
What local restaurants have happy hour?,local_recommend
